Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,15290.75,15293.82,15027.31,15095.00,131000,15095.00
2014-06-26,15320.13,15345.12,15278.22,15308.49,105400,15308.49
2014-06-25,15297.24,15347.88,15265.71,15266.61,108400,15266.61
2014-06-24,15300.50,15424.57,15252.27,15376.24,122700,15376.24
2014-06-23,15419.47,15442.67,15335.88,15369.28,120000,15369.28
2014-06-20,15359.60,15422.06,15305.43,15349.42,190000,15349.42
2014-06-19,15140.35,15375.38,15138.28,15361.16,189900,15361.16
2014-06-18,15009.89,15139.99,14995.45,15115.80,118600,15115.80
2014-06-17,14962.99,15026.96,14948.54,14975.97,107400,14975.97
2014-06-16,15049.61,15056.75,14867.15,14933.29,116000,14933.29
2014-06-13,14830.99,15121.64,14830.99,15097.84,172200,15097.84
2014-06-12,14942.15,14992.96,14862.08,14973.53,132400,14973.53
2014-06-11,15000.13,15075.72,14998.63,15069.48,99500,15069.48
2014-06-10,15130.74,15184.77,14966.80,14994.80,121300,14994.80
2014-06-09,15204.31,15206.57,15116.03,15124.00,107300,15124.00
2014-06-06,15138.75,15144.34,15042.59,15077.24,134800,15077.24
2014-06-05,15112.59,15141.14,15016.81,15079.37,127900,15079.37
2014-06-04,15067.41,15071.78,14985.21,15067.96,132000,15067.96
2014-06-03,15089.04,15091.49,15026.01,15034.25,145900,15034.25
2014-06-02,14777.51,14963.91,14777.51,14935.92,130600,14935.92
2014-05-30,14707.66,14741.10,14591.62,14632.38,175300,14632.38
2014-05-29,14585.64,14714.95,14574.02,14681.72,122000,14681.72
2014-05-28,14646.93,14717.29,14608.54,14670.95,120100,14670.95
2014-05-27,14589.79,14744.16,14588.68,14636.52,129400,14636.52
2014-05-26,14592.60,14602.52,14531.32,14602.52,106900,14602.52
2014-05-23,14411.10,14528.04,14404.80,14462.17,142400,14462.17
2014-05-22,14188.28,14369.02,14147.55,14337.79,160300,14337.79
2014-05-21,13969.71,14054.24,13964.43,14042.17,121700,14042.17
2014-05-20,14088.45,14144.04,14038.06,14075.25,123100,14075.25
2014-05-19,14130.09,14150.50,13991.80,14006.44,114000,14006.44
2014-05-16,14087.76,14108.44,14016.49,14096.59,131300,14096.59
2014-05-15,14280.51,14306.36,14190.27,14298.21,132600,14298.21
2014-05-14,14385.60,14419.65,14349.87,14405.76,112700,14405.76
2014-05-13,14367.94,14464.01,14359.74,14425.44,129900,14425.44
2014-05-12,14173.49,14234.49,14130.30,14149.52,109200,14149.52
2014-05-09,14101.98,14266.29,14091.20,14199.59,125300,14199.59
2014-05-08,14136.41,14254.44,14108.16,14163.78,123000,14163.78
2014-05-07,14296.25,14299.13,14033.45,14033.45,143200,14033.45
2014-05-06,14457.51,14457.51,14457.51,14457.51,000,14457.51
2014-05-02,14454.44,14473.75,14405.77,14457.51,108600,14457.51
2014-05-01,14341.09,14493.03,14341.09,14485.13,129200,14485.13
2014-04-30,14393.51,14421.22,14275.69,14304.11,125100,14304.11
2014-04-29,14288.23,14288.23,14288.23,14288.23,000,14288.23
2014-04-28,14289.82,14324.03,14224.47,14288.23,97400,14288.23
2014-04-25,14369.72,14554.32,14327.60,14429.26,115000,14429.26
2014-04-24,14563.25,14563.25,14367.13,14404.99,106300,14404.99
2014-04-23,14480.41,14546.27,14459.29,14546.27,103200,14546.27
2014-04-22,14586.29,14604.30,14388.77,14388.77,99300,14388.77
2014-04-21,14549.45,14649.50,14503.17,14512.38,95300,14512.38
2014-04-18,14489.37,14536.67,14442.74,14516.27,78200,14516.27
2014-04-17,14395.95,14500.66,14351.85,14417.53,127900,14417.53
2014-04-16,14126.87,14420.30,14125.59,14417.68,143600,14417.68
2014-04-15,14068.75,14096.86,13969.17,13996.81,120800,13996.81
2014-04-14,13887.23,14008.29,13885.22,13910.16,121100,13910.16
2014-04-11,14027.80,14065.97,13885.11,13960.05,174700,13960.05
2014-04-10,14484.54,14513.14,14234.45,14300.12,128900,14300.12
2014-04-09,14436.05,14502.02,14279.34,14299.69,162500,14299.69
2014-04-08,14715.80,14740.10,14605.31,14606.88,130400,14606.88
2014-04-07,14880.82,14895.58,14764.37,14808.85,112800,14808.85
2014-04-04,15005.54,15098.38,15000.69,15063.77,97100,15063.77
2014-04-03,15009.18,15164.39,14976.36,15071.88,134400,15071.88
2014-04-02,14897.88,15069.61,14893.17,14946.32,162400,14946.32
2014-04-01,14870.51,14870.51,14751.29,14791.99,139200,14791.99
2014-03-31,14839.54,14843.67,14718.01,14827.83,141600,14827.83
2014-03-28,14576.25,14713.45,14520.57,14696.03,149300,14696.03
2014-03-27,14305.67,14659.85,14227.81,14622.89,179000,14622.89
2014-03-26,14521.00,14569.90,14401.42,14477.16,166600,14477.16
2014-03-25,14401.69,14531.79,14312.08,14423.19,186000,14423.19
2014-03-24,14297.58,14514.28,14287.28,14475.30,196200,14475.30
2014-03-20,14548.76,14548.76,14207.83,14224.23,158700,14224.23
2014-03-19,14496.00,14664.00,14302.00,14463.00,000,14463.00
2014-03-18,14491.00,14533.00,14400.00,14411.27,000,14411.27
2014-03-17,14254.32,14359.16,14203.21,14277.67,138000,14277.67
2014-03-14,14526.28,14539.60,14280.75,14327.66,236100,14327.66
2014-03-13,14847.72,14919.84,14790.48,14815.98,116200,14815.98
2014-03-12,15003.80,15020.14,14828.18,14830.39,141300,14830.39
2014-03-11,15179.47,15256.03,15124.36,15224.11,119100,15224.11
2014-03-10,15197.53,15266.12,15088.11,15120.14,121100,15120.14
2014-03-07,15280.76,15312.60,15145.59,15274.07,138500,15274.07
2014-03-06,14933.76,15203.12,14871.56,15134.75,150000,15134.75
2014-03-05,14905.95,14992.19,14897.63,14897.63,134000,14897.63
2014-03-04,14553.95,14750.09,14546.34,14721.48,125600,14721.48
2014-03-03,14666.93,14684.70,14443.10,14652.23,146900,14652.23
2014-02-28,14929.55,14943.65,14735.52,14841.07,160500,14841.07
2014-02-27,14939.87,15015.01,14844.37,14923.11,160300,14923.11
